Date,Close
11/28/2018 16:00:00,1677.75
11/29/2018 16:00:00,1673.57
11/30/2018 16:00:00,1690.17
12/3/2018 16:00:00,1772.36
12/4/2018 16:00:00,1668.4
12/6/2018 16:00:00,1699.19
12/7/2018 16:00:00,1629.13
12/10/2018 16:00:00,1641.03
12/11/2018 16:00:00,1643.24
12/12/2018 16:00:00,1663.54
12/13/2018 16:00:00,1658.38
12/14/2018 16:00:00,1591.91
12/17/2018 16:00:00,1520.91
12/18/2018 16:00:00,1551.48
12/19/2018 16:00:00,1495.08
12/20/2018 16:00:00,1460.83
12/21/2018 16:00:00,1377.45
12/24/2018 13:00:00,1343.96
12/26/2018 16:00:00,1470.9
12/27/2018 16:00:00,1461.64
12/28/2018 16:00:00,1478.02
12/31/2018 16:00:00,1501.97
1/2/2019 16:00:00,1539.13
1/3/2019 16:00:00,1500.28
1/4/2019 16:00:00,1575.39
1/7/2019 16:00:00,1629.51
1/8/2019 16:00:00,1656.58
1/9/2019 16:00:00,1659.42
1/10/2019 16:00:00,1656.22
1/11/2019 16:00:00,1640.56
1/14/2019 16:00:00,1617.21
1/15/2019 16:00:00,1674.56
1/16/2019 16:00:00,1683.78
1/17/2019 16:00:00,1693.22
1/18/2019 16:00:00,1696.2
1/22/2019 16:00:00,1632.17
1/23/2019 16:00:00,1640.02
1/24/2019 16:00:00,1654.93
1/25/2019 16:00:00,1670.57
1/28/2019 16:00:00,1637.89
1/29/2019 16:00:00,1593.88
1/30/2019 16:00:00,1670.43
1/31/2019 16:00:00,1718.73
2/1/2019 16:00:00,1626.23
2/4/2019 16:00:00,1633.31
2/5/2019 16:00:00,1658.81
2/6/2019 16:00:00,1640.26
2/7/2019 16:00:00,1614.37
2/8/2019 16:00:00,1588.22
2/11/2019 16:00:00,1591
2/12/2019 16:00:00,1638.01
2/13/2019 16:00:00,1640
2/14/2019 16:00:00,1622.65
2/15/2019 16:00:00,1607.95
2/19/2019 16:00:00,1627.58
2/20/2019 16:00:00,1622.1
2/21/2019 16:00:00,1619.44
2/22/2019 16:00:00,1631.56
2/25/2019 16:00:00,1633
2/26/2019 16:00:00,1636.4
2/27/2019 16:00:00,1641.09
2/28/2019 16:00:00,1639.83
3/1/2019 16:00:00,1671.73
3/4/2019 16:00:00,1696.17
3/5/2019 16:00:00,1692.43
3/6/2019 16:00:00,1668.95
3/7/2019 16:00:00,1625.95
3/8/2019 16:00:00,1620.8
3/11/2019 16:00:00,1670.62
3/12/2019 16:00:00,1673.1
3/13/2019 16:00:00,1690.81
3/14/2019 16:00:00,1686.22
3/15/2019 16:00:00,1712.36
3/18/2019 16:00:00,1742.15
3/19/2019 16:00:00,1761.85
3/20/2019 16:00:00,1797.27
3/21/2019 16:00:00,1819.26
3/22/2019 16:00:00,1764.77
3/25/2019 16:00:00,1774.26
3/26/2019 16:00:00,1783.76
3/27/2019 16:00:00,1765.7
3/28/2019 16:00:00,1773.42
3/29/2019 16:00:00,1780.75
4/1/2019 16:00:00,1814.19
4/2/2019 16:00:00,1813.98
4/3/2019 16:00:00,1820.7
4/4/2019 16:00:00,1818.86
4/5/2019 16:00:00,1837.28
4/8/2019 16:00:00,1849.86
4/9/2019 16:00:00,1835.84
4/10/2019 16:00:00,1847.33
4/11/2019 16:00:00,1844.07
4/12/2019 16:00:00,1843.06
4/15/2019 16:00:00,1844.87
4/16/2019 16:00:00,1863.04
4/17/2019 16:00:00,1864.82
